업종,의료기관명,의료기관주소(도로명),의료기관전화번호
병원,부산성소병원,"부산광역시 남구 수영로 175 (대연동, SMG빌딩)",051-633-1123~5
병원,부산아동병원,"부산광역시 남구 수영로 228, 3-7층 (대연동)",051-612-7582
병원,위대항병원,부산광역시 남구 수영로 241 (대연동),051-928-9000
병원,의료법인고려의료재단부산고려병원,부산광역시 남구 수영로 238 (대연동),051-930-3000
병원,의료법인정화의료재단봉생힐링병원,"부산광역시 남구 양지골로 241, 감만동 봉생 제3병원 (감만동)",051-668-6000
병원,파크사이드재활의학병원,부산광역시 남구 유엔평화로125번길 11-10 (대연동),051-629-8000
한방병원,부산더존한방병원,"부산광역시 남구 수영로 305, 스파크 4, 지하1(일부)층 (대연동)",051-791-0870
치과병원,우리들40플란트치과병원,"부산광역시 남구 전포대로 90, 4층, 401, 402호 (문현동)",051-633-2875
요양병원(일반요양병원),그랜드자연요양병원,부산광역시 남구 황령대로 355-14 (대연동),051-612-0075
요양병원(일반요양병원),새라새요양병원,부산광역시 남구 석포로26번길 17 (감만동),051-628-6005
요양병원(일반요양병원),용당요양병원,부산광역시 남구 신선로 429 (용당동),051-625-3001
요양병원(일반요양병원),윌리스요양병원,부산광역시 남구 수영로 185-7 (대연동),051-638-7575
요양병원(일반요양병원),의료법인은경의료재단 인창대연요양병원,부산광역시 남구 수영로 164 (대연동),051-774-1004
요양병원(일반요양병원),임해누리의료소비자생활협동조합 오륙도요양병원,"부산광역시 남구 용호로 132, 용성빌딩3,4층 (용호동)",051-647-7007
요양병원(일반요양병원),제니스파크요양병원,부산광역시 남구 우암양달로75번길 29 (우암동),051-644-7733
요양병원(일반요양병원),효메디요양병원,부산광역시 남구 용호로 95 (용호동),051-624-6600
종합병원,부산성모병원(재단법인 천주교부산교구유지재단),부산광역시 남구 용호로232번길 25-14 (용호동),051-933-7114
정신병원,BH병원,부산광역시 남구 수영로 165 (대연동),051-633-6665
정신병원,대연성모병원,부산광역시 남구 황령대로353번길 66 (대연동),051-621-2312
정신병원,의료법인인혜의료재단가나병원,부산광역시 남구 유엔평화로 156 (용당동),051-624-6666
의원,(사)대한결핵협회부산광역시지부 복십자의원,부산광역시 남구 수영로 299 (대연동),051-611-3622
의원,THE밝은안과의원,"부산광역시 남구 수영로 209, 103호 (대연동, 일동지에닌상가)",051-612-1116
의원,W365메디컬의원,"부산광역시 남구 분포로 145, 2086-2, 2087-1호 (용호동, 더블유)",051-622-0365
의원,강남비뇨기과의원,부산광역시 남구 수영로 31 (문현동),051-646-6464
의원,강동섭소아청소년과의원,부산광역시 남구 수영로 37 (문현동),051-634-9305
의원,강한정형외과의원,"부산광역시 남구 석포로 74, 3~7층 (대연동)",051-542-8840
의원,고용호신경외과의원,부산광역시 남구 수영로 168 (대연동),051-636-4600
의원,구자영내과의원,"부산광역시 남구 수영로 182-1, 3층 (대연동)",051-646-3345
의원,구자현비뇨기과의원,부산광역시 남구 수영로 298 (대연동),051-625-2288
의원,굿모닝내과의원,"부산광역시 남구 용호로 54, 대영빌딩 3층 301,302호 (용호동)",051-612-7581
의원,그린 마취 통증의학과 의원,"부산광역시 남구 용호로 189-2, 2,3층 (용호동)",051-611-8998
의원,길민경산부인과의원,"부산광역시 남구 수영로 340, 플러스빌딩4층 (대연동)",051-621-2616
의원,김갑진신경과의원,"부산광역시 남구 수영로 27, 3층 (문현동, 금호빌딩)",051-636-9080
의원,김계영 내과.소아 청소년과 의원,"부산광역시 남구 수영로 252 (대연동, (1,2층))",051-627-7000
의원,김대연의원,부산광역시 남구 수영로 195-2 (대연동),051-627-5313
의원,김문석피부과의원,"부산광역시 남구 용호로 134, 2층 (용호동)",051-624-1612
의원,김성미소아청소년과의원,"부산광역시 남구 분포로 115, B동 2층 (용호동, 힐탑탑플레이스)",051-714-2046
의원,김소아청소년과의원,부산광역시 남구 우암로 67-2 (감만동),051-645-8988
의원,김영수내과의원,"부산광역시 남구 수영로 209, 2층 (대연동, 일동지에닌아파트상가)",051-611-6151
의원,김용대정형외과의원,부산광역시 남구 석포로 130 (대연동),051-622-0024
의원,김정태정형외과의원,부산광역시 남구 수영로 230 (대연동),051-628-1997
의원,김진규내과의원,부산광역시 남구 고동골로78번길 12 (문현동),051-643-7666
의원,김현지키움소아청소년과의원,"부산광역시 남구 수영로 260, 3층 311,312호 (대연동, 대연백리명가에덴)",051-711-6241
의원,김효준내과의원,"부산광역시 남구 석포로 76, 3층 (대연동)",051-628-6422
의원,나은소아청소년과의원,부산광역시 남구 용호로198번길 2 (용호동),051-623-9944
의원,늘편안하내과의원,"부산광역시 남구 분포로 113, 1005동 4층 6호 (용호동, 엘지메트로시티아파트)",711-8270
의원,늘편한내과의원,"부산광역시 남구 진남로 4, 3층 (대연동)",051-621-0119
의원,다나아마취통증의학과의원,"부산광역시 남구 수영로 240-1 (대연동, 이지스퀘어빌딩4층)",051-625-5005
